Unnamed: 0,timestamp,unix_timestamp,sub,valence,s_ns,id,message,combined_msg
30,2020-01-10 08:05:00,1578661500,1109,negative,nonsocial,218,"""If you wait to start exercising until ""tomorrow"", tomorrow can turn into weeks, months or years. There's no time to waste. Every day of sedentary living is dangerous for your heart and shortens your life.""","""If you wait to start exercising until ""tomorrow"", tomorrow can turn into weeks, months or years. There's no time to waste. Every day of sedentary living is dangerous for your heart and shortens your life. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
31,2020-01-11 08:00:00,1578747600,1109,negative,social,407,"""A lack of physical activity can increase the risk of dementia. Not being able to remember your loved ones or moving to a nursing home will be emotionally and financially difficult for your family.""","""A lack of physical activity can increase the risk of dementia. Not being able to remember your loved ones or moving to a nursing home will be emotionally and financially difficult for your family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
32,2020-01-12 08:00:00,1578834000,1109,negative,social,415,"""If you continue to be sedentary, your bones will weaken faster as you get older. This makes it more difficult to do things you like, such as spending time out with your family.""","""If you continue to be sedentary, your bones will weaken faster as you get older. This makes it more difficult to do things you like, such as spending time out with your family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
33,2020-01-13 10:41:00,1578930060,1109,negative,social,408,"""Every choice you make today can affect your health tomorrow; don't let a sedentary lifestyle shorten your life. Think of all the people you would leave behind.""","""Every choice you make today can affect your health tomorrow; don't let a sedentary lifestyle shorten your life. Think of all the people you would leave behind. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
34,2020-01-14 10:19:00,1579015140,1109,negative,nonsocial,215,"""Spending lots of time sitting and watching TV makes you more likely to die from heart disease.""","""Spending lots of time sitting and watching TV makes you more likely to die from heart disease. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
35,2020-01-15 09:02:00,1579096920,1109,positive,social,315,"""Regular physical activity can help you sleep better, giving you more energy to enjoy quality time with friends and family.""","""Regular physical activity can help you sleep better, giving you more energy to enjoy quality time with friends and family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
36,2020-01-16 08:31:00,1579181460,1109,positive,nonsocial,116,"""Regular physical activity will give you higher energy levels throughout the day.""","""Regular physical activity will give you higher energy levels throughout the day. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
37,2020-01-17 10:35:00,1579275300,1109,negative,social,401,"""Physical inactivity can make daily tasks harder to perform, leaving you with no energy to spend time with friends and family.""","""Physical inactivity can make daily tasks harder to perform, leaving you with no energy to spend time with friends and family. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
38,2020-01-18 09:24:00,1579357440,1109,negative,nonsocial,220,"""Inactive people tend to die sooner than active people.""","""Inactive people tend to die sooner than active people. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
39,2020-01-19 08:04:00,1579439040,1109,positive,nonsocial,109,"""The earlier you invest in your health, the more it will pay off by preventing disease and extending your life.""","""The earlier you invest in your health, the more it will pay off by preventing disease and extending your life. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
40,2020-01-20 10:16:00,1579533360,1109,positive,social,306,"""Instead of watching TV with family or friends, why not take a walk or jog? Spending less time in front of the TV can strengthen your heart and help you live longer and healthier.""","""Instead of watching TV with family or friends, why not take a walk or jog? Spending less time in front of the TV can strengthen your heart and help you live longer and healthier. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
41,2020-01-21 09:27:00,1579616820,1109,positive,social,304,"""As you become more active, your bones will grow stronger. Having a support network can help you stay physically active. Be active with friends and family and get stronger together!""","""As you become more active, your bones will grow stronger. Having a support network can help you stay physically active. Be active with friends and family and get stronger together! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
42,2020-01-22 10:44:00,1579707840,1109,positive,social,313,"""You can live longer and enjoy the things you love if you sit less. You will spend more time with the people you love.""","""You can live longer and enjoy the things you love if you sit less. You will spend more time with the people you love. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
43,2020-01-23 09:04:00,1579788240,1109,negative,nonsocial,205,"""Too much sitting overall and prolonged periods of sitting can increase the risk of death from cardiovascular disease and cancer.""","""Too much sitting overall and prolonged periods of sitting can increase the risk of death from cardiovascular disease and cancer. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
44,2020-01-24 10:51:00,1579881060,1109,negative,nonsocial,201,"""People who are insufficiently active have a 20% to 30% increased risk of death compared to people who are sufficiently active.""","""People who are insufficiently active have a 20% to 30% increased risk of death compared to people who are sufficiently active. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
45,2020-01-25 09:45:00,1579963500,1109,negative,social,411,"""Being sedentary can shrink the brain's memory areas with age. When you go out with friends or family, visit places where you can walk around, like a mall, park, or museum, to stimulate your brain.""","""Being sedentary can shrink the brain's memory areas with age. When you go out with friends or family, visit places where you can walk around, like a mall, park, or museum, to stimulate your brain. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
46,2020-01-26 08:33:00,1580045580,1109,negative,nonsocial,206,"""Inadequate levels of physical activity increase the risk of falls as well as hip or vertebral fractures.""","""Inadequate levels of physical activity increase the risk of falls as well as hip or vertebral fractures. 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
47,2020-01-27 10:51:00,1580140260,1109,positive,social,316,"""Every minute you invest in your health is another minute you get to spend with your loved ones!""","""Every minute you invest in your health is another minute you get to spend with your loved ones! 

Click link to complete the survey: https://redcap.duke.edu/redcap/surveys/?s=3FRPDWX48P"""
